X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
674609.494,4865265.6343,1514,739,Margate Westbound @ Nottingham,,1,0, , , ,-78.825069,43.919809,739,Future service
666902.3035,4858500.2382,1515,74,South Blair Southbound @ Watson,,1,0, , , ,-78.923123,43.8607221,74,On Demand
674481.14,4865221.797,1516,740,Margate Westbound @ Fleetwood,,1,1, , , ,-78.826681,43.919445,740,Future service
674543.2624,4864885.4366,1517,741,Fleetwood Southbound @ Corsica,,1,0, , , ,-78.826018,43.916404,741,Future service
674611.297,4864681.7187,1518,742,Fleetwood Southbound @ Adelaide,,1,0, , , ,-78.825238,43.914555,742,Future service
674245.3636,4864609.6331,1519,743,Adelaide Westbound @ Cranberry,,1,0, , , ,-78.829816,43.913993,743,Future service
674065.5659,4864587.4534,1520,744,Adelaide Westbound @ Killdeer,,1,0, , , ,-78.832061,43.913836,744,Future service
673824.2446,4864509.2105,1521,745,Adelaide Westbound @ Blackthorn,,1,0, , , ,-78.83509,43.913189,745,Future service
673671.8762,4864461.2037,1522,746,Adelaide Westbound @ Harmony,,1,0, , , ,-78.837002,43.912793,746,Future service
673348.7724,4864274.5821,1523,747,Adelaide Westbound @ Acadia,,1,0, , , ,-78.841084,43.91119,747,Future service
673001.1802,4864108.1223,1524,748,Adelaide Westbound @ Surrey,,1,0, , , ,-78.845464,43.909774,748,Future service
672729.0566,4864002.1092,1525,749,Adelaide Westbound @ Juliana,,1,0, , , ,-78.848885,43.908884,749,Future service
672431.5257,4863856.2131,1526,750,Adelaide Westbound @ Central Park,,1,0, , , ,-78.852635,43.907641,750,Future service
672194.212,4863748.9053,1527,751,Adelaide Westbound @ Ritson,,1,0, , , ,-78.855623,43.906731,751,Future service
671874.9966,4863635.8155,1528,752,Adelaide Westbound @ Division,,1,0, , , ,-78.859632,43.905788,752,Future service
671492.1186,4863498.2251,1529,753,Adelaide Westbound @ Kendal,,1,1, , , ,-78.864441,43.9046392,753,Future service
671353.4315,4863416.9256,1530,754,Adelaide Westbound @ Simcoe,,1,1, , , ,-78.866193,43.90394,754,Future service
671013.7734,4863254.1145,1531,755,Adelaide Westbound @ Frances,,1,0, , , ,-78.870472,43.902554,755,Future service
667154.3421,4857738.8168,1532,76,Southbound @ 286 South Blair,,1,0, , , ,-78.920227,43.853814,76,On Demand
645856.1035,4849786.9674,1533,7698,Ellesmere Eastbound @ Military Trail,,1,0, , , ,-79.187251,43.786768,7698,Scheduled
675109.9115,4865193.4752,1534,771,Townline Southbound @ Kilmaurs,,0,0, , , ,-78.818864,43.919041,771,Future service
